time,company,recipient,status,subject,body,business_summary,error
2026-04-01 11:10:41,BR Artificial Grass Installation Los Angeles,brartificialgrass@gmail.com,发送失败,,,"artificial grass, artificial grass installation, and landscaping solutions","(535, b'5.7.8 Error: authentication failed: (reason unavailable)')"
2026-04-01 11:11:19,Artificial Grass Wholesalers,info@artificialgrasswholesalers.com,发送失败,,,artificial grass,"(535, b'5.7.8 Error: authentication failed: (reason unavailable)')"
2026-04-01 11:35:36,BR Artificial Grass Installation Los Angeles,brartificialgrass@gmail.com,发送成功,"Quick note on your artificial grass, artificial grass installation, and landscaping solutions","Hi BR Artificial Grass Installation Los Angeles team,

I noticed that BR Artificial Grass Installation Los Angeles is focused on artificial grass, artificial grass installation, and landscaping solutions. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass installation, and landscaping solutions",
2026-04-01 11:36:07,Artificial Grass Wholesalers,info@artificialgrasswholesalers.com,发送成功,Quick note on your artificial grass,"Hi Artificial Grass Wholesalers team,

I noticed that Artificial Grass Wholesalers is focused on artificial grass. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/",artificial grass,
2026-04-01 11:36:37,US Family Turf - Artificial Grass Installation,info@usfamilyturf.com,发送成功,"Quick note on your artificial grass, artificial grass installation, and contract projects","Hi US Family Turf - Artificial Grass Installation team,

I noticed that US Family Turf - Artificial Grass Installation is focused on artificial grass, artificial grass installation, and contract projects. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass installation, and contract projects",
2026-04-01 11:37:08,Synthetic Grass Warehouse,info@sgwcorp.com,发送成功,"Quick note on your artificial grass, artificial grass supply, and artificial grass wholesale","Hi Synthetic Grass Warehouse team,

I noticed that Synthetic Grass Warehouse is focused on artificial grass, artificial grass supply, and artificial grass wholesale. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass supply, and artificial grass wholesale",
2026-04-01 11:48:09,BR Artificial Grass Installation Los Angeles,brartificialgrass@gmail.com,发送成功,"Quick note on your artificial grass, artificial grass installation, and landscaping solutions","Hi BR Artificial Grass Installation Los Angeles team,

I noticed that BR Artificial Grass Installation Los Angeles is focused on artificial grass, artificial grass installation, and landscaping solutions. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass installation, and landscaping solutions",
2026-04-01 11:48:40,Artificial Grass Wholesaler,info@artificialgrasswholesalers.com,发送成功,Quick note on your artificial grass,"Hi Artificial Grass Wholesaler team,

I noticed that Artificial Grass Wholesaler is focused on artificial grass. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/",artificial grass,
2026-04-01 11:49:10,US Family Turf,info@usfamilyturf.com,发送成功,"Quick note on your artificial grass, artificial grass installation, and contract projects","Hi US Family Turf team,

I noticed that US Family Turf is focused on artificial grass, artificial grass installation, and contract projects. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass installation, and contract projects",
2026-04-01 11:49:41,Synthetic Grass Warehouse,info@sgwcorp.com,发送成功,"Quick note on your artificial grass, artificial grass supply, and artificial grass wholesale","Hi Synthetic Grass Warehouse team,

I noticed that Synthetic Grass Warehouse is focused on artificial grass, artificial grass supply, and artificial grass wholesale. For companies in this line of business, keeping the offer reliable and competitive is often an important part of winning more projects and repeat customers.

At Chinee Artificial Grass, we have been working on premium artificial grass for every space, combining natural aesthetics with long-lasting performance. With our own production and support for customized solutions, we try to make cooperation practical, stable, and suitable for different market needs.

Looking at your business, I felt some of our recent work might be relevant to what you are doing now.

If you would like, I can share a few related cases for reference, and you can see whether any of them are useful for your market.

Best regards,
Chinee Artificial Grass
https://www.china-artificial-grass.com/","artificial grass, artificial grass supply, and artificial grass wholesale",
